threshold,true_churners_caught,missed_churners,false_alarms,targeted_users,churn_precision,churn_recall,churn_f1,accuracy,estimated_value,campaign_cost,net_value
0.45,343,164,724,1067,0.32146204311152765,0.6765285996055227,0.4358322744599746,0.6895104895104895,8575,5335,3240
0.4,377,130,884,1261,0.29896907216494845,0.7435897435897436,0.4264705882352941,0.6454545454545455,9425,6305,3120
0.5,307,200,609,916,0.3351528384279476,0.6055226824457594,0.43148278285312713,0.7171328671328672,7675,4580,3095
0.35,407,100,1061,1468,0.27724795640326977,0.8027613412228797,0.4121518987341772,0.5940559440559441,10175,7340,2835
0.55,260,247,507,767,0.3389830508474576,0.5128205128205128,0.4081632653061224,0.7363636363636363,6500,3835,2665
0.6,226,281,380,606,0.37293729372937295,0.4457593688362919,0.4061096136567835,0.7688811188811189,5650,3030,2620
0.3,437,70,1245,1682,0.25980975029726516,0.8619329388560157,0.3992690726359068,0.5402097902097902,10925,8410,2515
0.65,185,322,270,455,0.4065934065934066,0.36489151873767256,0.38461538461538464,0.793006993006993,4625,2275,2350
0.7,130,377,146,276,0.47101449275362317,0.2564102564102564,0.33205619412515963,0.8171328671328671,3250,1380,1870
0.25,459,48,1483,1942,0.23635427394438724,0.9053254437869822,0.3748468762760311,0.4646853146853147,11475,9710,1765
0.75,62,445,51,113,0.5486725663716814,0.1222879684418146,0.2,0.8265734265734266,1550,565,985
0.2,479,28,1802,2281,0.2099956159579132,0.9447731755424064,0.34361549497847915,0.36013986013986016,11975,11405,570
0.8,17,490,9,26,0.6538461538461539,0.03353057199211045,0.06378986866791744,0.8255244755244755,425,130,295
