label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,churn,km_per_drive,minutes_per_drive,drives_per_session,activity_rate,driving_rate,total_fav_navigations
retained,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android,0,11.63205782300885,8.786615314159292,0.7985865724381626,0.012302284710017574,0.008347978910369069,208
retained,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,iPhone,0,128.186173364486,29.53713003738318,0.8045112781954887,0.010612244897959184,0.008979591836734694,83
retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android,0,32.20156650526316,16.95511477894737,0.8333333333333334,0.005281026027913994,0.003017729158807997,0
retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone,0,22.8397780775,14.6799135575,0.8163265306122449,0.4666666666666667,0.2,329
retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android,0,58.091206,17.93464594117647,0.8095238095238095,0.017285531370038413,0.011523687580025609,171
retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone,0,8.74989027669903,4.263120362135922,0.911504424778761,0.005688282138794084,0.004171406901782328,0
retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone,0,2624.586414,363.28860235,0.6666666666666666,0.07777777777777778,0.06388888888888888,203
retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone,0,225.48721337142857,70.4851926,0.8974358974358975,0.007335778592864288,0.006668889629876626,0
retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android,0,57.64586443478261,34.65963008695652,0.8070175438596491,0.0589622641509434,0.04716981132075472,26
churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone,1,88.87441610294117,34.43880188235295,0.8095238095238095,0.002335669002335669,0.001001001001001001,72
retained,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,iPhone,0,427.745722,267.628386,0.8695652173913043,0.0046248715313463515,0.0046248715313463515,36
retained,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,iPhone,0,22.84819767,10.34651333,0.8,0.002053388090349076,0.002053388090349076,10
retained,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,iPhone,0,61.27582234146342,41.88460043902439,0.803921568627451,0.004347826086956522,0.004347826086956522,64
retained,80,64,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,Android,0,133.30075109375,98.816772765625,0.8,0.0003170577045022194,0.0,55
churned,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,Android,1,89.73956366666667,33.74667262121212,0.9166666666666666,0.0,0.0,78
retained,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,iPhone,0,99.49226231818183,80.71424995454545,0.9565217391304348,0.22,0.2,193
retained,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,Android,0,48.54197116,37.965204984,0.8333333333333334,0.010939510939510939,0.008365508365508366,80
churned,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,Android,1,16.11570310502283,9.490533506849314,0.8051470588235294,0.125,0.125,90
retained,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,Android,0,240.54233486842105,129.54453757894737,0.7916666666666666,0.004814636494944632,0.0014443909484833895,142
retained,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,iPhone,0,87.41368776530612,25.863215571428572,0.9245283018867925,0.25287356321839083,0.22988505747126436,6
retained,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,iPhone,0,38.140387714285716,22.664027128571426,0.8076923076923077,0.002383384405856316,0.002383384405856316,306
retained,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,iPhone,0,18.23778837815126,4.638359895798319,0.8040540540540541,0.041916167664670656,0.041916167664670656,105
churned,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,iPhone,1,44.22394868333333,6.678455168333333,0.821917808219178,0.009956440572495333,0.009956440572495333,346
churned,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,iPhone,1,186.23930056521738,28.457348108695655,0.7931034482758621,0.0009140767824497258,0.0009140767824497258,338
retained,3,3,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,Android,0,758.0690576666666,550.191933,1.0,0.014760147601476014,0.00922509225092251,86
retained,0,0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,Android,0,0.0,0.0,0.0,0.0021969974368363236,0.0007323324789454412,17
retained,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,Android,0,45.55636724528301,29.982497066037737,0.803030303030303,0.11607142857142858,0.08035714285714286,227
churned,5,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,iPhone,1,185.00609484,98.10693498,1.0,0.006490872210953347,0.0032454361054766734,412
