feature,importance
activity_days,0.24640256993662912
driving_days,0.18076699337780172
n_days_after_onboarding,0.09875650442084134
driving_rate,0.08866258571345371
activity_rate,0.07229871485469373
total_fav_navigations,0.03630523317570734
duration_minutes_drives,0.03428729208390345
total_navigations_fav1,0.03284453001464405
total_sessions,0.03109685171810048
driven_km_drives,0.029015682105876333
km_per_drive,0.02695669252010669
minutes_per_drive,0.026491709323810078
drives,0.02567318856548155
sessions,0.025648322115750754
drives_per_session,0.024512066348449938
total_navigations_fav2,0.01719924879398669
device_iPhone,0.0030818149307629927
